Designator,Mid X,Mid Y,Rotation,Layer
C1,125.3763,-125.388899,90.0,top
C2,132.5626,-96.926399,90.0,top
C3,125.8062,-97.002599,90.0,top
C4,129.4764,-88.239599,180.0,top
C5,132.2324,-64.082899,90.0,top
C6,125.6284,-64.095499,90.0,top
J1,115.5954,-67.589399,90.0,top
J2,115.5954,-128.269999,90.0,top
J3,115.5954,-98.869499,90.0,top
Q1,159.766,-106.908599,0.0,top
Q2,160.4298,-70.826199,0.0,top
R1,128.6275,-127.406399,90.0,top
R10,121.5644,-73.710799,270.0,top
R2,130.9389,-127.459099,270.0,top
R3,122.7328,-105.409999,90.0,top
R4,125.476,-105.409999,270.0,top
R7,127.4064,-85.191599,180.0,top
R8,127.4064,-82.905599,0.0,top
R9,119.0498,-73.736199,90.0,top
RL1,129.1208,-99.059999,90.0,top
RL2,128.8288,-66.141599,90.0,top
U1,111.6532,-108.584999,270.0,top
U2,111.6704,-77.114399,270.0,top
